ドリフト,1288,1288,6000,名詞,固有名詞,ドリフト,*,*,*,*,*,*
スタンダード,1288,1288,6000,名詞,固有名詞,ドリフト,*,*,*,*,*,*
マイルド,1288,1288,6000,名詞,固有名詞,ドリフト,*,*,*,*,*,*
ダイナミック,1288,1288,6000,名詞,固有名詞,ドリフト,*,*,*,*,*,*
ホバー,1288,1288,6000,名詞,固有名詞,ドリフト,*,*,*,*,*,*
ニトロ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
シングルニトロ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
ダブルニトロ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
トリプルニトロ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
アルティメットチャージ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
STAGE0,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
STAGE1,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
STAGE2,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
GALAXIAN,1288,1288,6000,名詞,固有名詞,メーカー,*,*,*,*,*,*
ノーマルチャージ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
ノーマルチャージU,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
ノーマルチャージB,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
GENERALRE SOURCE,1288,1288,6000,名詞,固有名詞,メーカー,*,*,*,*,*,*
リバースチャージ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
オートチャージ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
CONSUMER TEC,1288,1288,6000,名詞,固有名詞,メーカー,*,*,*,*,*,*
フレックスニトロ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
ロングニトロ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
ハイニトロ,1288,1288,6000,名詞,固有名詞,ニトロ,*,*,*,*,*,*
RIDGE STATE GRAND PRIX,1288,1288,6000,名詞,固有名詞,モード,*,*,*,*,*,*
ONLINE BATTLE,1288,1288,6000,名詞,固有名詞,モード,*,*,*,*,*,*
GLOBAL TIME ATTACK,1288,1288,6000,名詞,固有名詞,モード,*,*,*,*,*,*
ARCADE,1288,1288,6000,名詞,固有名詞,モード,*,*,*,*,*,*
UFRA SPECIAL EVENT,1288,1288,6000,名詞,固有名詞,モード,*,*,*,*,*,*
MACHINE CONNECTER,1288,1288,6000,名詞,固有名詞,モード,*,*,*,*,*,*
RANKING BROWSER,1288,1288,6000,名詞,固有名詞,モード,*,*,*,*,*,*
OPTIONS,1288,1288,6000,名詞,固有名詞,モード,*,*,*,*,*,*
Seaside Route765,1288,1288,6000,名詞,固有名詞,コース,*,*,*,*,*,*
Seaside Route765 R,1288,1288,6000,名詞,固有名詞,コース,*,*,*,*,*,*
Rave City Riverfront,1288,1288,6000,名詞,固有名詞,コース,*,*,*,*,*,*
Rave City Riverfront R,1288,1288,6000,名詞,固有名詞,コース,*,*,*,*,*,*
Industrial Drive,1288,1288,6000,名詞,固有名詞,コース,*,*,*,*,*,*
Industrial Drive R,1288,1288,6000,名詞,固有名詞,コース,*,*,*,*,*,*
